500460,MUKAND LTD.,Iron & Steel/Interm.Products
500463,AGC Networks Limited,IT Consulting & Software
500464,UCAL FUEL SYSTEMS LTD.,Auto Parts & Equipment
500467,HARRISONS MALAYALAM LTD.,Auto Tyres & Rubber Products
500469,FEDERAL BANK LTD.,Banks
500470,TATA STEEL LTD.,Iron & Steel/Interm.Products
500472,SKF India Ltd,Other Industrial Goods
500477,ASHOK LEYLAND LTD.,Commercial Vehicles
500480,CUMMINS INDIA LTD.,Industrial Machinery
500483,TATA COMMUNICATIONS LTD.,Telecom - Alternate Carriers
500488,ABBOTT INDIA LTD.,Pharmaceuticals
500490,BAJAJ HOLDINGS & INVESTMENT LTD.,Holding Companies
500493,BHARAT FORGE LTD.,Other Industrial Products
500495,ESCORTS LTD.,Commercial Vehicles
500500,HINDUSTAN MOTORS LTD.,Cars & Utility Vehicles
500510,LARSEN & TOUBRO LTD.,Construction & Engineering
500520,MAHINDRA & MAHINDRA LTD.,Cars & Utility Vehicles
500530,BOSCH LTD.,Auto Parts & Equipment
500540,PREMIER LTD.,Industrial Machinery
500547,BHARAT PETROLEUM CORPORATION LTD.,Refineries/ Petro-Products
500550,SIEMENS LTD.,Heavy Electrical Equipment
500570,TATA MOTORS LTD.,Commercial Vehicles
500575,VOLTAS LTD.,Consumer Electronics
500620,GREAT EASTERN SHIPPING CO.LTD.,Shipping
500645,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.,Commodity Chemicals
500650,EXCEL INDUSTRIES LTD.,Specialty Chemicals
500655,GARWARE POLYESTER LTD.,Commodity Chemicals
500660,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,Pharmaceuticals
500670,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,Fertilizers
500672,NOVARTIS INDIA LTD.,Pharmaceuticals
500674,Sanofi India Ltd,Pharmaceuticals
500680,PFIZER LTD.,Pharmaceuticals
500690,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,Fertilizers
500696,HINDUSTAN UNILEVER LTD.,Personal Products
500710,Akzo Nobel India Limited,Furniture-Furnishing-Paints
500730,NOCIL LTD.,Specialty Chemicals
500770,TATA CHEMICALS LTD.,Commodity Chemicals
500777,TAMILNADU PETROPRODUCTS LTD.,Commodity Chemicals
500780,ZUARI GLOBAL LTD.,Fertilizers
500790,NESTLE INDIA LTD.,Packaged Foods
500800,Tata Consumer Products Ltd,Tea & Coffee
500820,ASIAN PAINTS LTD.,Furniture-Furnishing-Paints
500825,BRITANNIA INDUSTRIES LTD.,Packaged Foods
500830,COLGATE-PALMOLIVE (INDIA) LTD.,Personal Products
500840,EIH LTD.,Hotels
500850,INDIAN HOTELS CO.LTD.,Hotels
500870,CASTROL INDIA LTD.,Oil Marketing & Distribution
500875,ITC LTD.,Cigarettes-Tobacco Products
500877,APOLLO TYRES LTD.,Auto Tyres & Rubber Products
500878,CEAT LTD.,Auto Tyres & Rubber Products
500890,MODI RUBBER LTD.,Auto Tyres & Rubber Products
500940,FINOLEX INDUSTRIES LTD.,Plastic Products
501110,SUNRISE INDUSTRIAL TRADERS LTD.,Other Financial Services
501111,GOLD ROCK INVESTMENTS LTD.,Comm.Trading  & Distribution
501144,PEOPLES INVESTMENTS LTD.,Misc.Commercial Services
501148,DALAL STREET INVESTMENTS LTD.,Investment Companies
501150,CENTRUM CAPITAL LTD.,Other Financial Services
501151,KARTIK INVESTMENTS TRUST LTD.,Other Financial Services
501242,TCI FINANCE LTD.,Finance (including NBFCs)
501261,KRATOS ENERGY & INFRASTRUCTURE LTD.,Other Financial Services
501270,Antariksh Industries Ltd,Realty
501295,INDUSTRIAL INVESTMENT TRUST LTD.,Finance (including NBFCs)
501298,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.,Investment Companies
501301,TATA INVESTMENT CORPORATION LTD.,Holding Companies
501311,JAYABHARAT CREDIT LTD.-$,Finance (including NBFCs)
501314,Prismx Global Ventures Ltd,Comm.Trading  & Distribution
501343,MOTOR & GENERAL FINANCE LTD.,Finance (including NBFCs)
501351,RAPID INVESTMENTS LTD.,Misc.Commercial Services
501370,WALCHAND PEOPLEFIRST LTD.,Consulting Services
501386,SWASTIK SAFE DEPOSIT & INVESTMENTS LTD.,Other Financial Services
501391,W.H.BRADY & CO.LTD.,Comm.Trading  & Distribution
501423,SHAILY ENGINEERING PLASTICS LTD.,Plastic Products
501425,BOMBAY BURMAH TRADING CORP.LTD.,Tea & Coffee
501430,BOMBAY CYCLE & MOTOR AGENCY LTD.,Comm.Trading  & Distribution
501455,GREAVES COTTON LTD.,Industrial Machinery
501477,MULLER & PHIPPS (INDIA) LTD.,Comm.Trading  & Distribution
501622,AMALGAMATED ELECTRICITY CO.LTD.,Misc.Commercial Services
501630,Anand Projects Ltd,Construction & Engineering
501700,INDIANIVESH LTD.,Finance (including NBFCs)
501831,COASTAL CORPORATION LTD.,Packaged Foods
501833,CHOWGULE STEAMSHIPS LTD.,Shipping
501848,GLOBAL OFFSHORE SERVICES LTD.-$,Shipping
501945,DHENU BUILDCON INFRA LTD.,Finance (including NBFCs)
502015,ASI Industries Ltd,Mining
502090,SAGAR CEMENTS LTD.-$,Cement & Cement Products
502137,DECCAN CEMENTS LTD.-$,Cement & Cement Products
502157,MANGALAM CEMENT LTD.,Cement & Cement Products
502168,NCL INDUSTRIES LTD.-$,Cement & Cement Products
502175,SAURASHTRA CEMENT LTD.,Cement & Cement Products
502180,SHREE DIGVIJAY CEMENT CO.LTD.-$,Cement & Cement Products
502216,BOMBAY POTTERIES & TILES LTD.,Realty
502219,Borosil Renewables Ltd,Houseware
502250,Lerthai Finance Ltd,Construction Materials
502271,RAASI REFRACTORIES LTD.-$,Other Industrial Goods
502281,TRIVENI GLASS LTD.-$,Construction Materials
502294,NILACHAL REFRACTORIES LTD.,Construction Materials
502330,Andhra Paper Ltd,Paper & Paper Products
502355,BALKRISHNA INDUSTRIES LTD.-$,Auto Tyres & Rubber Products
502420,ORIENT PAPER & INDUSTRIES LTD.,Paper & Paper Products
502445,CITADEL REALTY AND DEVELOPERS LTD.,Realty
502448,ROLLATAINERS LTD.,Containers & Packaging
502450,SESHASAYEE PAPER & BOARDS LTD.,Paper & Paper Products
502460,SOLID CONTAINERS LTD.,Paper & Paper Products
502563,SHREE BHAWANI PAPER MILLS LTD.,Paper & Paper Products
502587,Nath Industries Ltd,Paper & Paper Products
502589,VAPI PAPER MILLS LTD.,Paper & Paper Products
502742,SINTEX INDUSTRIES LTD.,Textiles
502820,DCM LTD.,Other Industrial Products
502850,GAEKWAR MILLS LTD.,Textiles
502865,FORBES & COMPANY LTD.-$,Industrial Machinery
502873,H.P.COTTON TEXTILE MILLS LTD.,Textiles
502893,UNITED INTERACTIVE LTD.,Internet Software & Services
502901,Jamshri Realty Ltd-$,Textiles
502933,KATARE SPINNING MILLS LTD.,Textiles
502937,KESORAM INDUSTRIES LTD.,Diversified
502958,LAKSHMI MILLS COMPANY LTD.-$,Textiles
502986,VARDHMAN TEXTILES LTD.,Textiles
503015,MODERN INDIA LTD.-$,Comm.Trading  & Distribution
503031,PENINSULA LAND LTD.,Realty
503092,PASUPATI SPG.& WVG.MILLS LTD.,Textiles
503100,The Phoenix Mills Ltd,Realty
503101,MARATHON NEXTGEN REALTY LTD.,Realty
503127,RAJA BAHADUR INTERNATIONAL LTD.,Diversified
503162,RELIANCE CHEMOTEX INDUSTRIES LTD.-$,Textiles
503169,RUBY MILLS LTD.,Textiles
503229,SIMPLEX REALTY LTD.,Realty
